"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type","type_truth"
"1","Br1 1","Br1 2",2.66666666666667,3,6,3.5,0.447777777777778,0.5,1,0.588888888888889,"KM","KM"
"2","Br1 1","Br10 1",0.333333333333333,0,2,1,0.0577777777777778,0,0.333333333333333,0.172222222222222,"KNM","KNM"
"3","Br1 1","Br10 2",0.4,0,1,1,0.0677777777777778,0,0.2,0.172222222222222,"KNM","KNM"
"4","Br1 1","Br2 1",0.366666666666667,0,2,1.33333333333333,0.0677777777777778,0,0.4,0.233333333333333,"KNM","KNM"
"5","Br1 1","Br2 2",0.366666666666667,0,2,1.16666666666667,0.07,0,0.4,0.205555555555556,"KNM","KNM"
"6","Br1 1","Br3 1",0.4,0,2,1.2,0.076,0,0.4,0.213333333333333,"KNM","KNM"
"7","Br1 1","Br3 2",0.133333333333333,0,2,1,0.0222222222222222,0,0.333333333333333,0.172222222222222,"KNM","KNM"
"8","Br1 1","Br4 1",0.333333333333333,0,1,0.833333333333333,0.0566666666666667,0,0.2,0.144444444444444,"KNM","KNM"
"9","Br1 1","Br4 2",0.533333333333333,1,2,1,0.0955555555555556,0.166666666666667,0.4,0.177777777777778,"KNM","KNM"
"10","Br1 1","Br5 1",0.4,0,2,1,0.0755555555555556,0,0.4,0.177777777777778,"KNM","KNM"
"11","Br1 1","Br5 2",0.133333333333333,0,1,0.833333333333333,0.0244444444444444,0,0.2,0.144444444444444,"KNM","KNM"
"12","Br1 1","Br6 1",0.233333333333333,0,2,1,0.0377777777777778,0,0.4,0.172222222222222,"KNM","KNM"
"13","Br1 1","Br6 2",0.76,0,2,1.4,0.129333333333333,0.0333333333333334,0.333333333333333,0.24,"KNM","KNM"
"14","Br1 1","Br7 1",0.266666666666667,0,2,1,0.0422222222222222,0,0.333333333333333,0.166666666666667,"KNM","KNM"
"15","Br1 1","Br7 2",0.366666666666667,0,2,1,0.0633333333333333,0,0.333333333333333,0.172222222222222,"KNM","KNM"
