"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type","type_truth"
"1","Br1 1","Br1 2",5.83333333333333,7,12,7.16666666666667,0.494444444444445,0.575,1,0.608333333333333,"KM","KM"
"2","Br1 1","Br10 1",0.4,0.5,3,1.66666666666667,0.0366666666666667,0.0416666666666667,0.25,0.144444444444444,"KNM","KNM"
"3","Br1 1","Br10 2",0.5,1,2,1.66666666666667,0.0444444444444444,0.0833333333333333,0.2,0.144444444444444,"KNM","KNM"
"4","Br1 1","Br2 1",0.4,1,4,1.83333333333333,0.0316666666666667,0.0833333333333333,0.333333333333333,0.155555555555556,"KNM","KNM"
"5","Br1 1","Br2 2",0.266666666666667,0.5,4,1.5,0.0238888888888889,0.05,0.333333333333333,0.130555555555556,"KNM","KNM"
"6","Br1 1","Br3 1",0.68,0,4,1.8,0.0573333333333333,0.0166666666666667,0.333333333333333,0.153333333333333,"KNM","KNM"
"7","Br1 1","Br3 2",0.6,1,3,1.83333333333333,0.0494444444444444,0.0833333333333333,0.25,0.155555555555556,"KNM","KNM"
"8","Br1 1","Br4 1",0.2,0.5,3,1.5,0.0194444444444445,0.0416666666666667,0.25,0.130555555555556,"KNM","KNM"
"9","Br1 1","Br4 2",0.266666666666667,0,3,1.5,0.0211111111111111,0.00833333333333335,0.25,0.127777777777778,"KNM","KNM"
"10","Br1 1","Br5 1",0.166666666666667,0.5,2,1.5,0.0161111111111111,0.05,0.2,0.130555555555556,"KNM","KNM"
"11","Br1 1","Br5 2",0.233333333333333,1,2,1.33333333333333,0.0222222222222222,0.0833333333333333,0.2,0.116666666666667,"KNM","KNM"
"12","Br1 1","Br6 1",0.466666666666667,0.5,3,1.66666666666667,0.0388888888888889,0.05,0.25,0.141666666666667,"KNM","KNM"
"13","Br1 1","Br6 2",0.32,1,2,1.6,0.0306666666666667,0.0833333333333333,0.2,0.14,"KNM","KNM"
"14","Br1 1","Br7 1",0.366666666666667,1,3,1.66666666666667,0.0316666666666667,0.0833333333333333,0.25,0.141666666666667,"KNM","KNM"
"15","Br1 1","Br7 2",0.233333333333333,0.5,3,1.66666666666667,0.0183333333333333,0.05,0.25,0.141666666666667,"KNM","KNM"
"16","Br1 1","Br8 1",0.466666666666667,1,4,1.83333333333333,0.0388888888888889,0.0666666666666667,0.333333333333333,0.155555555555556,"KNM","KNM"
"17","Br1 1","Br8 2",0.366666666666667,0.5,4,1.66666666666667,0.0333333333333333,0.05,0.333333333333333,0.144444444444444,"KNM","KNM"
"18","Br1 1","Br9 1",0.133333333333333,0,2,1.33333333333333,0.0116666666666667,0.00833333333333335,0.166666666666667,0.113888888888889,"KNM","KNM"
"19","Br1 1","Br9 2",0.44,1,2,1.6,0.04,0.0833333333333333,0.2,0.14,"KNM","KNM"
"20","Br1 1","Ukn B",0.6,1,2,1.8,0.0533333333333333,0.0833333333333333,0.2,0.156666666666667,"Ukn","KNM"
"21","Br1 1","Ukn C",7.06666666666667,8,12,8.33333333333333,0.592777777777778,0.666666666666667,1,0.702777777777778,"Ukn","KM"
"22","Br1 1","Ukn D",0.566666666666667,1,3,1.83333333333333,0.0477777777777778,0.0833333333333333,0.25,0.155555555555556,"Ukn","KNM"
"23","Br1 1","Ukn E",0.366666666666667,0,2,1.33333333333333,0.0311111111111111,0.00833333333333335,0.166666666666667,0.113888888888889,"Ukn","KNM"
"24","Br1 1","Ukn F",7.23333333333333,7.5,12,8.5,0.605555555555556,0.608333333333333,1,0.713888888888889,"Ukn","KM"
"25","Br1 1","Ukn H",0.4,0.5,3,1.66666666666667,0.0383333333333333,0.05,0.3,0.147222222222222,"Ukn","KNM"
"26","Br1 1","Ukn J",0.333333333333333,0.5,3,1.66666666666667,0.0283333333333333,0.0416666666666667,0.25,0.141666666666667,"Ukn","KNM"
"27","Br1 1","Ukn L",0.533333333333333,1,3,1.83333333333333,0.0455555555555556,0.0833333333333333,0.25,0.158333333333333,"Ukn","KNM"
"28","Br1 1","Ukn M",0.166666666666667,0.5,3,1.5,0.0133333333333333,0.05,0.25,0.127777777777778,"Ukn","KNM"
