"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type","type_truth"
"1","Br1 1","Br1 2",13.7,15.5,24,16,0.291456916099773,0.349914965986395,0.489795918367347,0.340419501133787,"KM","KM"
"2","Br1 1","Br10 1",0.366666666666667,0.5,4,2.66666666666667,0.00691326530612245,0.0104166666666667,0.0816326530612245,0.0555413832199546,"KNM","KNM"
"3","Br1 1","Br10 2",0.566666666666666,0.5,4,2.66666666666667,0.0117885487528345,0.0139455782312925,0.0816326530612245,0.0563066893424036,"KNM","KNM"
"4","Br1 1","Br2 1",0.366666666666667,0,4,2.33333333333333,0.00895975056689342,0.000850340136054423,0.0816326530612245,0.0502692743764172,"KNM","KNM"
"5","Br1 1","Br2 2",0.333333333333333,0.5,4,2.5,0.0079733560090703,0.0108418367346939,0.0833333333333333,0.0537414965986395,"KNM","KNM"
"6","Br1 1","Br3 1",0.36,1,3,2.4,0.00898639455782313,0.0195578231292517,0.075,0.0521598639455782,"KNM","KNM"
"7","Br1 1","Br3 2",1,1,5,3.16666666666667,0.022984693877551,0.0208333333333333,0.125,0.0688775510204082,"KNM","KNM"
"8","Br1 1","Br4 1",0.2,0,5,2.33333333333333,0.00430272108843537,0.0050170068027211,0.104166666666667,0.0494331065759637,"KNM","KNM"
"9","Br1 1","Br4 2",0.2,0,3,2.16666666666667,0.00429138321995465,0.0050170068027211,0.075,0.0461026077097506,"KNM","KNM"
"10","Br1 1","Br5 1",0.433333333333333,0.5,4,2.5,0.0096485260770975,0.0106292517006803,0.0833333333333333,0.0535289115646258,"KNM","KNM"
"11","Br1 1","Br5 2",0.266666666666667,0.5,5,2.5,0.00455215419501134,0.00935374149659864,0.102040816326531,0.052140022675737,"KNM","KNM"
"12","Br1 1","Br6 1",0.333333333333333,1,4,2.66666666666667,0.00704081632653061,0.0195578231292517,0.0816326530612245,0.0563775510204082,"KNM","KNM"
"13","Br1 1","Br6 2",0.56,1,7,2.8,0.0142687074829932,0.0204081632653061,0.145833333333333,0.0612414965986395,"KNM","KNM"
"14","Br1 1","Br7 1",0.633333333333333,0.5,5,2.66666666666667,0.0134977324263039,0.0154336734693878,0.102040816326531,0.0563775510204082,"KNM","KNM"
"15","Br1 1","Br7 2",0.7,0.5,4,2.66666666666667,0.0148327664399093,0.0147959183673469,0.0833333333333333,0.0564484126984127,"KNM","KNM"
"16","Br1 1","Br8 1",0.833333333333333,1,4,3,0.0180810657596372,0.0208333333333333,0.0816326530612245,0.0639455782312925,"KNM","KNM"
"17","Br1 1","Br8 2",0.533333333333333,0.5,4,2.5,0.013015873015873,0.0147959183673469,0.1,0.0545068027210884,"KNM","KNM"
"18","Br1 1","Br9 1",0.4,0.5,3,2.33333333333333,0.00886054421768708,0.0147959183673469,0.0625,0.0495748299319728,"KNM","KNM"
"19","Br1 1","Br9 2",0.36,0,3,2.4,0.00564625850340136,0.000850340136054423,0.075,0.0494047619047619,"KNM","KNM"
"20","Br1 1","Ukn B",1,1,6,3,0.0215612244897959,0.0216836734693878,0.122448979591837,0.0643197278911565,"Ukn","KNM"
"21","Br1 1","Ukn C",16,14.5,27,17.8333333333333,0.333939909297052,0.298894557823129,0.5625,0.37297335600907,"Ukn","KM"
"22","Br1 1","Ukn D",0.966666666666667,1.5,4,3,0.0201785714285714,0.0297619047619048,0.0833333333333333,0.0633219954648526,"Ukn","KNM"
