"","bullet1","bullet2","rf.diff","rf.diff.med","rf.max","rf.maxbar","type","type_truth"
"543","Ukn F","Ukn L",0.0633333333333333,0.032,0.452,0.101333333333333,"Ukn","KNM"
"544","Ukn F","Ukn M",0.088,0.031,0.448,0.115,"Ukn","KNM"
"545","Ukn F","Ukn Q",0.10008,0.024,0.608,0.1452,"Ukn","KNM"
"546","Ukn F","Ukn S",0.0999333333333333,0.025,0.49,0.124333333333333,"Ukn","KNM"
"547","Ukn F","Ukn U",0.0484,0.016,0.236,0.06,"Ukn","KNM"
"548","Ukn F","Ukn X",0.0683333333333333,0.023,0.402,0.115666666666667,"Ukn","KNM"
"549","Ukn F","Ukn Y",0.1658,0.153,0.418,0.191666666666667,"Ukn","KNM"
"550","Ukn F","Ukn Z",0.1048,0.024,0.694,0.15,"Ukn","KNM"
"551","Ukn H","Ukn J",0.0319333333333333,0.01,0.296,0.0623333333333333,"Ukn","KNM"
"552","Ukn H","Ukn L",0.0324,0.008,0.364,0.0696666666666667,"Ukn","KNM"
"553","Ukn H","Ukn M",0.00993333333333334,0.013,0.126,0.029,"Ukn","KNM"
"554","Ukn H","Ukn Q",0.03512,0.008,0.222,0.0684,"Ukn","KNM"
"555","Ukn H","Ukn S",0.0288666666666667,0.011,0.256,0.0533333333333333,"Ukn","KNM"
"556","Ukn H","Ukn U",0.0518,0.028,0.292,0.0663333333333333,"Ukn","KNM"
"557","Ukn H","Ukn X",0.0118666666666667,0.012,0.132,0.0406666666666667,"Ukn","KNM"
"558","Ukn H","Ukn Y",0.0328666666666667,0.037,0.12,0.0506666666666667,"Ukn","KNM"
"559","Ukn H","Ukn Z",0.0164666666666667,0.013,0.17,0.0363333333333333,"Ukn","KNM"
"560","Ukn J","Ukn L",0.0699333333333333,0.043,0.442,0.110333333333333,"Ukn","KNM"
"561","Ukn J","Ukn M",0.0257333333333333,0.023,0.196,0.0533333333333333,"Ukn","KNM"
"562","Ukn J","Ukn Q",0.06288,0.014,0.466,0.1016,"Ukn","KNM"
"563","Ukn J","Ukn S",0.0462666666666667,0.017,0.412,0.079,"Ukn","KNM"
"564","Ukn J","Ukn U",0.0856666666666667,0.003,0.46,0.128666666666667,"Ukn","KNM"
"565","Ukn J","Ukn X",0.0148666666666667,0.015,0.17,0.039,"Ukn","KNM"
"566","Ukn J","Ukn Y",0.1448,0.019,0.762,0.181333333333333,"Ukn","KNM"
"567","Ukn J","Ukn Z",0.0343333333333333,0.008,0.316,0.062,"Ukn","KNM"
"568","Ukn L","Ukn M",0.0677333333333333,0.032,0.396,0.0916666666666667,"Ukn","KNM"
"569","Ukn L","Ukn Q",0.03376,0.01,0.26,0.0724,"Ukn","KNM"
"570","Ukn L","Ukn S",0.141,0.012,0.66,0.189666666666667,"Ukn","KNM"
"571","Ukn L","Ukn U",0.126133333333333,0.083,0.722,0.153333333333333,"Ukn","KNM"
"572","Ukn L","Ukn X",0.0592,0.038,0.342,0.102,"Ukn","KNM"
"573","Ukn L","Ukn Y",0.0102666666666667,0.008,0.124,0.0266666666666667,"Ukn","KNM"
"574","Ukn L","Ukn Z",0.0762,0.015,0.376,0.105666666666667,"Ukn","KNM"
"575","Ukn M","Ukn Q",0.05376,0.022,0.244,0.0812,"Ukn","KNM"
"576","Ukn M","Ukn S",0.105866666666667,0.019,0.74,0.142,"Ukn","KNM"
"577","Ukn M","Ukn U",0.0675333333333333,0.024,0.362,0.0816666666666667,"Ukn","KNM"
"578","Ukn M","Ukn X",0.0581333333333333,0.012,0.524,0.099,"Ukn","KNM"
"579","Ukn M","Ukn Y",0.5674,0.828,0.998,0.620666666666667,"Ukn","KM"
"580","Ukn M","Ukn Z",0.0496666666666667,0.023,0.434,0.083,"Ukn","KNM"
"581","Ukn Q","Ukn S",0.0848,0.022,0.428,0.118,"Ukn","KNM"
"582","Ukn Q","Ukn U",0.1452,0.006,0.68,0.1752,"Ukn","KNM"
"583","Ukn Q","Ukn X",0.10352,0.032,0.632,0.1344,"Ukn","KNM"
"584","Ukn Q","Ukn Y",0.1496,0.012,0.628,0.1628,"Ukn","KNM"
