"","bullet1","bullet2","cmps.diff","cmps.diff.med","cmps.max","cmps.maxbar","cmps.diff_scaled","cmps.diff.med_scaled","cmps.max_scaled","cmps.maxbar_scaled","type_truth","type"
"1","Barrel 1 Bullet 1","Barrel 1 Bullet 2",7.5,8,10,8.66666666666667,0.773333333333333,0.85,1,0.894444444444444,"KM","KM"
"2","Barrel 1 Bullet 1","Barrel 10 Bullet 1",0.166666666666667,0,2,1.16666666666667,0.0185185185185185,0.00555555555555555,0.222222222222222,0.122222222222222,"KNM","KNM"
"3","Barrel 1 Bullet 1","Barrel 10 Bullet 2",0.96,1,3,2,0.0951111111111111,0.1,0.3,0.202222222222222,"KNM","KNM"
"4","Barrel 1 Bullet 1","Barrel 2 Bullet 1",0.633333333333333,0.5,3,1.66666666666667,0.0674074074074074,0.0611111111111111,0.3,0.174074074074074,"KNM","KNM"
"5","Barrel 1 Bullet 1","Barrel 2 Bullet 2",0.2,0,3,1.4,0.0248888888888889,0.0111111111111111,0.333333333333333,0.148888888888889,"KNM","KNM"
"6","Barrel 1 Bullet 1","Barrel 3 Bullet 1",0.25,0,3,1.25,0.0294444444444444,0.00555555555555555,0.333333333333333,0.133333333333333,"KNM","KNM"
"7","Barrel 1 Bullet 1","Barrel 3 Bullet 2",0.166666666666667,0,3,1.33333333333333,0.0192592592592593,0.00555555555555555,0.333333333333333,0.140740740740741,"KNM","KNM"
"8","Barrel 1 Bullet 1","Barrel 4 Bullet 1",0.333333333333333,0.5,2,1.5,0.0351851851851852,0.0555555555555556,0.222222222222222,0.155555555555556,"KNM","KNM"
"9","Barrel 1 Bullet 1","Barrel 4 Bullet 2",0.366666666666667,0,2,1.33333333333333,0.0381481481481482,0.00555555555555555,0.222222222222222,0.138888888888889,"KNM","KNM"
"10","Barrel 1 Bullet 1","Barrel 5 Bullet 1",0.266666666666667,0,2,1.33333333333333,0.0292592592592593,0.0111111111111111,0.222222222222222,0.138888888888889,"KNM","KNM"
"11","Barrel 1 Bullet 1","Barrel 5 Bullet 2",0.366666666666667,0.5,3,1.5,0.0381481481481482,0.0555555555555556,0.3,0.155555555555556,"KNM","KNM"
"12","Barrel 1 Bullet 1","Barrel 6 Bullet 1",0.233333333333333,0.5,3,1.33333333333333,0.0248148148148148,0.0555555555555556,0.3,0.138888888888889,"KNM","KNM"
"13","Barrel 1 Bullet 1","Barrel 6 Bullet 2",0.233333333333333,0,3,1.33333333333333,0.0255555555555556,0.00555555555555555,0.3,0.138888888888889,"KNM","KNM"
"14","Barrel 1 Bullet 1","Barrel 7 Bullet 1",0.266666666666667,0,2,1.33333333333333,0.0285185185185185,0.00555555555555555,0.222222222222222,0.138888888888889,"KNM","KNM"
"15","Barrel 1 Bullet 1","Barrel 7 Bullet 2",0.333333333333333,0.5,2,1.5,0.0359259259259259,0.05,0.222222222222222,0.157407407407407,"KNM","KNM"
"16","Barrel 1 Bullet 1","Barrel 8 Bullet 1",0.88,1,3,1.8,0.0964444444444445,0.1,0.333333333333333,0.191111111111111,"KNM","KNM"
"17","Barrel 1 Bullet 1","Barrel 8 Bullet 2",0.233333333333333,0,2,1.33333333333333,0.022962962962963,0.00555555555555555,0.222222222222222,0.137037037037037,"KNM","KNM"
"18","Barrel 1 Bullet 1","Barrel 9 Bullet 1",0.266666666666667,0.5,2,1.5,0.0303703703703704,0.0388888888888889,0.222222222222222,0.157407407407407,"KNM","KNM"
"19","Barrel 1 Bullet 1","Barrel 9 Bullet 2",0.1,0,2,1.16666666666667,0.0118518518518518,0.00555555555555555,0.222222222222222,0.122222222222222,"KNM","KNM"
"20","Barrel 1 Bullet 1","Unknowns Bullet 'E'",0.44,0,2,1.4,0.0475555555555556,0.0111111111111111,0.222222222222222,0.146666666666667,"KNM","UKN"
"21","Barrel 1 Bullet 1","Unknowns Bullet 'F'",0.433333333333333,0.5,3,1.5,0.047037037037037,0.05,0.333333333333333,0.157407407407407,"KNM","UKN"
"22","Barrel 1 Bullet 1","Unknowns Bullet 'G'",0.4,0.5,3,1.5,0.0422222222222222,0.0444444444444445,0.3,0.155555555555556,"KNM","UKN"
"23","Barrel 1 Bullet 1","Unknowns Bullet 'H'",0.166666666666667,0,2,1.33333333333333,0.0185185185185185,0.0111111111111111,0.222222222222222,0.138888888888889,"KNM","UKN"
"24","Barrel 1 Bullet 1","Unknowns Bullet 'I'",0.4,0,3,1.4,0.0466666666666666,0.0111111111111111,0.333333333333333,0.148888888888889,"KNM","UKN"
"25","Barrel 1 Bullet 1","Unknowns Bullet 'J'",0.9,0.5,5,2,0.0914814814814815,0.0555555555555556,0.5,0.205555555555556,"KNM","UKN"
"26","Barrel 1 Bullet 1","Unknowns Bullet 'K'",6.96666666666667,8,10,8,0.714814814814815,0.8,1,0.822222222222222,"KM","UKN"
"27","Barrel 1 Bullet 1","Unknowns Bullet 'L'",0.233333333333333,0,2,1.33333333333333,0.0259259259259259,0.0111111111111111,0.222222222222222,0.138888888888889,"KNM","UKN"
"28","Barrel 1 Bullet 1","Unknowns Bullet 'O'",0.566666666666667,0.5,3,1.66666666666667,0.0574074074074074,0.0555555555555556,0.3,0.172222222222222,"KNM","UKN"
"29","Barrel 1 Bullet 1","Unknowns Bullet 'P'",0.2,0.5,3,1.33333333333333,0.0218518518518519,0.05,0.3,0.138888888888889,"KNM","UKN"
"30","Barrel 1 Bullet 1","Unknowns Bullet 'S'",0.4,1,2,1.5,0.042962962962963,0.1,0.222222222222222,0.155555555555556,"KNM","UKN"
"31","Barrel 1 Bullet 1","Unknowns Bullet 'T'",0.3,0,2,1.33333333333333,0.0318518518518519,0.00555555555555555,0.222222222222222,0.138888888888889,"KNM","UKN"
